frame,id,x_m,y_m;Frame;ID;x_m;y_m
43,32,3.25,3.77;46;2;5.27;3.02
43,6,0.68,0.83;46;3;4.19;4.23
43,39,4.77,0.52;46;4;5.24;2.18
43,41,3.24,3.93;46;7;3.20;2.86
43,42,3.60,2.21;46;8;3.26;2.43
43,43,0.14,2.45;46;9;0.33;1.70
44,1,3.58,2.95;46;10;4.69;2.67
44,2,4.29,4.79;46;15;4.18;2.78
44,3,1.06,3.65;46;12;2.59;2.74
44,4,3.60,3.60;47;1;3.82;2.55
44,5,3.82,1.45;47;2;5.27;3.02
44,7,3.66,2.12;47;3;4.19;4.23
44,9,3.40,4.40;47;4;5.24;2.18
44,11,2.99,1.80;47;7;3.20;2.86
44,27,0.89,2.17;47;8;3.26;2.43
44,15,3.39,0.74;47;9;0.33;1.70
44,32,3.25,3.77;47;10;4.69;2.67
44,6,0.68,0.83;47;15;4.18;2.78
44,39,4.77,0.52;47;12;2.58;2.74
44,41,3.24,3.93;48;1;3.82;2.55
44,42,3.60,2.21;48;2;5.27;3.02
44,43,0.14,2.44;48;3;4.19;4.23
45,1,3.59,2.95;48;4;5.24;2.18
45,2,4.29,4.79;48;7;3.21;2.86
45,3,1.06,3.65;48;8;3.26;2.43
45,4,3.60,3.60;48;9;0.32;1.70
45,5,3.82,1.45;48;10;4.69;2.66
45,7,3.66,2.12;48;15;4.18;2.78
45,9,3.40,4.40;48;12;2.58;2.75
45,11,2.99,1.80;49;1;3.82;2.55
45,27,1.00,2.15;49;2;5.27;3.02
45,15,3.39,0.74;49;3;4.19;4.23
45,32,3.25,3.77;49;4;5.24;2.18
45,6,0.68,0.83;49;7;3.21;2.86
45,39,4.77,0.53;49;8;3.26;2.43
45,41,3.24,3.93;49;9;0.33;1.70
45,42,3.61,2.21;49;10;4.69;2.66
45,43,0.13,2.42;49;15;4.18;2.78
46,1,3.59,2.95;49;12;2.58;2.75
46,2,4.29,4.79;50;1;3.82;2.55
46,3,1.06,3.65;50;2;5.27;3.02
46,4,3.60,3.60;50;3;4.19;4.23
46,5,3.82,1.45;50;4;5.24;2.18
46,7,3.67,2.12;50;7;3.21;2.86
46,11,2.99,1.80;50;8;3.26;2.43
46,27,1.11,2.14;50;9;0.33;1.70
46,15,3.39,0.74;50;10;4.69;2.66
